species,size,fragrance,height_cm
rose,medium,mild,48.55
shoeblack plant,medium,mild,147.07
shoeblack plant,medium,none,102.93
hibiscus,large,none,184.0
shoeblack plant,large,mild,83.07
hibiscus,large,none,120.88
rose,small,mild,99.24
rose,small,strong,96.75
hibiscus,large,none,160.88
shoeblack plant,large,mild,60.43
rose,small,strong,37.0
rose,small,strong,68.56
hibiscus,large,none,147.55
hibiscus,large,none,123.01
rose,small,mild,46.21
shoeblack plant,medium,none,101.99
rose,medium,strong,33.1
shoeblack plant,large,none,78.69
shoeblack plant,large,mild,129.65
shoeblack plant,medium,mild,126.98
shoeblack plant,large,none,76.07
shoeblack plant,large,none,70.41
hibiscus,large,none,187.12
shoeblack plant,medium,mild,106.0
hibiscus,large,none,174.18
rose,medium,strong,98.1
rose,small,mild,81.9
hibiscus,large,none,184.91
shoeblack plant,large,mild,70.25
rose,medium,strong,61.93
rose,small,mild,69.35
rose,small,strong,53.06
hibiscus,large,none,112.25
hibiscus,large,none,198.12
hibiscus,large,none,150.78
shoeblack plant,large,none,55.17
shoeblack plant,medium,mild,105.54
rose,small,mild,76.96
hibiscus,large,none,145.4
shoeblack plant,medium,mild,115.88
shoeblack plant,medium,mild,67.23
rose,small,mild,91.64
hibiscus,large,none,143.24
rose,medium,strong,46.73
hibiscus,large,none,158.0
hibiscus,large,none,152.97
rose,medium,mild,93.06
hibiscus,large,none,137.55
hibiscus,large,none,135.6
shoeblack plant,medium,mild,88.74
shoeblack plant,large,none,112.54
hibiscus,large,none,125.07
hibiscus,large,none,189.69
hibiscus,large,none,141.32
rose,medium,mild,62.8
shoeblack plant,medium,none,79.09
hibiscus,large,none,139.48
shoeblack plant,medium,mild,88.01
rose,medium,mild,92.55
rose,small,mild,33.08
hibiscus,large,none,175.14
shoeblack plant,medium,mild,132.47
rose,medium,strong,75.22
hibiscus,large,none,135.55
shoeblack plant,medium,none,135.58
hibiscus,large,none,127.68
hibiscus,large,none,193.84
hibiscus,large,none,143.79
hibiscus,large,none,122.56
rose,small,mild,41.81
shoeblack plant,medium,none,127.56
rose,small,strong,84.14
shoeblack plant,medium,none,113.29
hibiscus,large,none,159.29
shoeblack plant,medium,mild,109.36
rose,medium,strong,70.59
hibiscus,large,none,174.29
hibiscus,large,none,197.77
rose,small,strong,45.62
rose,medium,strong,64.57
hibiscus,large,none,126.47
shoeblack plant,medium,mild,107.51
shoeblack plant,medium,none,95.73
rose,small,mild,77.68
hibiscus,large,none,129.83
hibiscus,large,none,105.08
hibiscus,large,none,121.53
rose,small,mild,56.55
shoeblack plant,medium,mild,81.58
shoeblack plant,large,none,100.16
rose,small,strong,42.57
rose,small,mild,43.0
rose,small,mild,64.63
shoeblack plant,medium,none,80.72
shoeblack plant,medium,none,81.42
rose,medium,strong,38.55
rose,small,mild,99.24
rose,small,strong,76.23
shoeblack plant,large,none,131.5
hibiscus,large,none,184.04
rose,medium,mild,39.0
shoeblack plant,large,mild,143.01
shoeblack plant,medium,none,138.86
