match_number,team1,team2,date_of_match,stadium,team1_goals,team2_goals,audience,team1_total_shots,team1_shots_on_target,team2_total_shots,team2_shots_on_target,team1_fouls,team1_corners,team1_blocked_shots,team1_passes,team1_accurate_passes,team1_accurate_long_balls,team1_accurate_crosses,team1_throws,team1_offsides,team1_yellowcards,team1_red_cards,team1_tackles_won,team1_interceptions,team1_blocks,team1_clearances,team1_keeper_saves,team1_duels_won,team1_successful_dribbles,team2_accurate_passes,team2_fouls_committed,team2_corners,team2_blocked_shots,team2_passes,team2_accurate_long_balls,team2_accurate_crosses,team2_throws,team2_offsides,team2_yellow_cards,team2_red_cards,team2_tackles_won,team2_interceptions,team2_blocks,team2_clearances,team2_keeper_saves,team2_duels_won,team2_successful_dribbles
1,Germany,Scotland,15-06-2024,Fuball Arena Mnchen,5,1,"65,052",20,10,1,0,15,5,5,683,643(94%),19(68%),5(24%),12,4,2,0,9(90%),2,0,16,0,34,6(38%),189(75%),9,0,0,251,18(38%),1(13%),14,0,1,1,8(53%),6,5,22,5,41,5(56%)
2,Hungary,Switzerland,15-06-2024,Cologne Stadium,1,3,"41,676",6,2,15,7,9,2,1,438,643(94%),37(66%),5(25%),20,3,2,0,11(69%),5,5,23,4,48,4(50%),189(75%),13,6,5,452,21(47%),2(20%),24,2,2,0,9(69%),6,1,17,1,41,5(38%)
3,Spain,Croatia,15-06-2024,Olympiastadion Berlin,3,0,"68,844",11,5,16,5,14,5,3,457,365(83%),20(47%),4(44%),14,2,1,0,10(71%),5,3,10,5,55,12(67%),380(84%),13,0,3,517,21(54%),4(29%),23,0,0,0,10(71%),9,3,4,2,47,10(77%)
4,Italy,Albania,16-06-2024,BVB Stadion Dortmund,2,1,"60,512",17,5,8,1,7,5,7,809,365(83%),21(58%),7(47%),17,2,2,0,5(56%),15,2,6,0,31,9(69%),380(84%),7,3,2,372,17(41%),2(22%),15,1,2,0,5(63%),13,6,15,3,26,2(29%)
5,Poland,Netherlands,16-06-2024,Volksparkstadion,1,2,"48,117",12,7,21,4,10,3,1,295,383(84%),12(31%),4(24%),13,2,0,0,9(60%),7,3,26,2,39,7(44%),456(88%),8,6,3,579,24(53%),6(29%),29,0,1,0,11(79%),3,1,21,6,54,14(70%)
6,Slovenia,Denmark,16-06-2024,Stuttgart Arena,1,1,"54,000",11,2,16,4,12,5,2,311,383(84%),30(58%),5(36%),14,3,2,0,7(50%),13,5,30,3,35,3(38%),456(88%),9,9,6,658,17(44%),9(36%),16,1,1,0,2(29%),5,2,17,1,40,1(11%)
7,Serbia,England,17-06-2024,Arena AufSchalke,0,1,"48,953",6,1,5,3,19,2,3,504,747(92%),20(45%),2(11%),19,0,2,0,10(77%),5,1,17,2,36,8(100%),313(84%),8,1,1,588,30(52%),2(22%),8,1,0,0,6(67%),8,3,22,1,50,8(44%)
8,Romania,Ukraine,17-06-2024,Fuball Arena Mnchen,3,0,"61,591",9,5,13,2,9,4,2,237,747(92%),15(37%),1(9%),19,1,1,0,3(38%),6,5,31,3,37,11(50%),313(84%),8,8,6,591,18(49%),1(4%),13,1,1,0,11(65%),5,2,7,2,43,7(64%)
9,Belgium,Slovakia,17-06-2024,Frankfurt Arena,0,1,"45,181",16,5,10,4,14,5,5,573,232(79%),22(50%),4(29%),18,2,3,0,7(50%),2,2,15,3,40,8(57%),514(89%),10,7,2,367,25(40%),6(35%),19,1,1,0,4(50%),9,6,19,5,37,6(67%)
10,Austria,France,18-06-2024,Dsseldorf Arena,0,1,"46,425",6,3,14,3,18,6,1,476,232(79%),14(41%),4(15%),18,0,5,0,13(48%),3,5,19,3,48,4(36%),514(89%),11,2,5,453,24(53%),2(17%),23,1,2,0,7(47%),6,1,31,3,64,12(50%)
