match_id,rival,rival_confederation,peru_score,rival_score,peru_awarded_score,rival_awarded_score,result,shootout_result,awarded_result,tournament_name,tournament_type,official,stadium,city,country,elevation,peru_condition,coach,coach_nationality,date
M0001,Uruguay,CONMEBOL,0,4,0,4,L,,L,Sudamericano 1927,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Pedro Olivieri,Uruguay,1927-11-01
M0002,Bolivia,CONMEBOL,3,2,3,2,W,,W,Sudamericano 1927,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Pedro Olivieri,Uruguay,1927-11-13
M0003,Argentina,CONMEBOL,1,5,1,5,L,,L,Sudamericano 1927,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Pedro Olivieri,Uruguay,1927-11-27
M0004,Argentina,CONMEBOL,0,3,0,3,L,,L,Sudamericano 1929,Copa América/Sudamericano,True,Estadio Viejo Gasómetro,Buenos Aires,Argentina,25,away,Julio Borrelli,Uruguay,1929-11-03
M0005,Uruguay,CONMEBOL,1,4,1,4,L,,L,Sudamericano 1929,Copa América/Sudamericano,True,Estadio Alvear y Tagle,Buenos Aires,Argentina,25,neutral,Julio Borrelli,Uruguay,1929-11-11
M0006,Paraguay,CONMEBOL,0,5,0,5,L,,L,Sudamericano 1929,Copa América/Sudamericano,True,Estadio La Doble Visera,Buenos Aires,Argentina,25,neutral,Julio Borrelli,Uruguay,1929-11-16
M0007,Romania,UEFA,1,3,1,3,L,,L,FIFA World Cup 1930,FIFA World Cup,True,Estadio Pocitos,Montevideo,Uruguay,43,neutral,Francisco Bru,Spain,1930-07-14
M0008,Uruguay,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup 1930,FIFA World Cup,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Francisco Bru,Spain,1930-07-18
M0009,Uruguay,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1935,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Telmo Carbajo,Peru,1935-01-13
M0010,Argentina,CONMEBOL,1,4,1,4,L,,L,Sudamericano 1935,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Telmo Carbajo,Peru,1935-01-20
M0011,Chile,CONMEBOL,1,0,1,0,W,,W,Sudamericano 1935,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Telmo Carbajo,Peru,1935-01-26
M0012,Finland,UEFA,7,3,7,3,W,,W,Olympic Games 1936,Olympic Games,True,Hertha-BSC-Platz,Berlin,Germany,34,neutral,Alberto Denegri,Peru,1936-08-06
M0013,Austria,UEFA,4,2,4,2,W,,L,Olympic Games 1936,Olympic Games,True,Hertha-BSC-Platz,Berlin,Germany,34,neutral,Alberto Denegri,Peru,1936-08-09
