id,name,now_cost,position,team,points_per_game,clean_sheets_per_90,red_cards,saves,own_goals,expected_goal_involvements_per_90,expected_assists,form_rank_type,influence_rank_type,expected_goal_involvements,now_cost_rank_type,expected_goals_conceded,expected_assists_per_90,penalties_saved,influence_rank,selected_rank_type,yellow_cards,goals_scored,creativity_rank,value_season,expected_goals,points_per_game_rank,web_name,goals_conceded_per_90,ict_index_rank,bps,ict_index_rank_type,corners_and_indirect_freekicks_order,form_rank,clean_sheets,ep_next,direct_freekicks_order,penalties_missed,selected_by_percent,influence,threat_rank_type,threat,creativity,saves_per_90,status,total_points,starts,minutes,ict_index,threat_rank,expected_goals_per_90,news,goals_conceded,news_added,chance_of_playing_next_round,creativity_rank_type,assists,now_cost_rank,bonus,starts_per_90,points_per_game_rank_type,selected_rank,penalties_order,expected_goals_conceded_per_90
1,Fábio Ferreira Vieira,55,MID,Arsenal,2.2,0.31,1,0,0,0.59,0.64,188,146,1.89,86,1.83,0.2,0,335,153,0,1,267,4.4,1.25,250,Fábio Vieira,0.62,321,67,147,,467,1,3.0,,0,0.1,82.8,130,85.0,88.8,0.0,a,24,2,290,25.5,253,0.39,,2,,,146,3,140,0,0.62,104,457,4.0,0.57
2,Gabriel Fernando de Jesus,70,FWD,Arsenal,3.1,0.67,0,0,0,0.58,3.26,54,20,9.53,12,11.67,0.2,0,184,31,6,4,84,12.1,6.27,143,G.Jesus,0.67,71,271,16,,547,11,3.2,,0,1.1,364.8,16,756.0,403.0,0.0,a,85,17,1470,152.7,30,0.38,,11,,,10,7,29,10,1.04,22,176,,0.71
3,Gabriel dos Santos Magalhães,60,DEF,Arsenal,4.1,0.47,0,0,1,0.15,0.65,187,18,5.13,6,26.18,0.02,0,59,10,4,3,238,24.8,4.48,42,Gabriel,0.77,110,676,21,,502,16,4.2,,0,12.4,675.8,4,379.0,121.9,0.0,a,149,34,3042,117.9,91,0.13,,26,,,73,1,81,8,1.01,6,29,,0.77
4,Kai Havertz,80,FWD,Arsenal,4.9,0.55,0,0,0,0.55,3.88,65,8,16.23,4,21.03,0.13,0,43,5,11,13,47,22.5,12.36,18,Havertz,0.75,19,515,5,,566,16,3.5,,0,14.0,763.2,7,1027.0,613.4,0.0,a,180,30,2627,240.2,14,0.42,,22,,,2,10,12,15,1.03,4,26,3.0,0.72
5,Karl Hein,40,GKP,Arsenal,0.0,0.0,0,0,0,0.0,0.00,23,52,0.00,60,0.00,0.0,0,443,54,0,0,434,0.0,0.00,445,Hein,0.0,446,0,52,,55,0,2.0,,0,0.2,0.0,24,0.0,0.0,0.0,a,0,0,0,0.0,408,0.0,,0,,,40,0,556,0,0.0,52,360,,0.0
6,Jurriën Timber,55,DEF,Arsenal,0.0,0.0,0,0,0,0.03,0.02,183,133,0.02,17,0.28,0.03,0,385,44,2,0,359,0.0,0.00,563,J.Timber,0.0,390,4,134,,472,0,3.8,,0,2.2,5.8,132,2.0,4.7,0.0,a,0,1,70,1.3,360,0.0,,0,,,132,0,145,0,1.29,191,124,,0.36
7,Jorge Luiz Frello Filho,50,MID,Arsenal,1.8,0.39,0,0,0,0.18,1.77,65,127,1.87,106,8.42,0.17,0,293,113,1,0,187,8.8,0.10,300,Jorginho,1.08,292,182,133,,281,4,2.5,,0,0.3,165.4,168,16.0,187.8,0.0,a,44,10,913,36.8,334,0.01,,11,,,115,2,172,1,0.99,129,346,,0.83
8,Jakub Kiwior,50,DEF,Arsenal,3.4,0.57,0,0,0,0.13,0.60,169,96,1.34,35,5.15,0.06,0,260,122,1,1,254,13.4,0.74,89,Kiwior,0.76,274,260,95,,369,6,3.4,,0,0.3,228.8,81,90.0,106.9,0.0,a,67,11,942,42.7,247,0.07,,8,,,81,3,260,1,1.05,16,322,,0.49
9,Gabriel Martinelli Silva,70,MID,Arsenal,3.4,0.45,0,0,0,0.51,5.18,241,56,11.53,18,14.88,0.23,0,126,28,1,6,35,16.9,6.36,98,Martinelli,1.03,36,404,25,,550,10,3.4,,0,4.0,500.4,12,795.0,717.1,0.0,a,118,24,2010,200.8,25,0.28,,23,,,30,5,32,6,1.07,45,92,,0.67
10,Reiss Nelson,50,MID,Arsenal,1.1,0.35,0,0,0,0.21,0.43,92,159,0.61,133,2.18,0.15,0,357,208,1,0,269,3.2,0.18,357,Nelson,0.35,338,58,154,4.0,319,1,2.5,,0,0.1,42.8,154,39.0,87.7,0.0,a,16,1,256,16.9,296,0.06,,1,,,147,0,210,0,0.35,163,520,,0.77
