Name,Distance (ly),Luminosity (L/Lo),Radius (R/Ro),Temperature (K),Spectral Class
Altair,16.59417123707501,9.979192445462427,1.6326504020392336,7509.2942473638805,A7V
Deneb,2600.4907228269035,196002.62785575088,202.970526216013,8503.284796430231,A2Ia
Barnard's Star,6.052616358474774,4.893715684187678,0.22271101197217258,3165.9596392449016,M4Ve
Polaris,322.6010015236985,2196.241933606857,37.546813013740554,6048.326914763769,F7Ib
Barnard's Star,5.902391663373468,-1.4964862523273919,0.1923594077740656,3130.6020692351385,M4Ve
Sirius,8.370045208990435,25.62536254052454,1.7376163136938274,9903.971703749557,A1V
Fomalhaut,25.42303189349805,19.314803198342823,1.7634732970155798,8541.195355142636,A3V
Capella,42.56957816453575,77.46654686278187,12.015077077611398,4979.492462093153,G8III
Capella,43.260858866113374,76.75397466518646,11.926446347832353,4907.779548870081,G8III
Bellatrix,239.86410710431278,6399.344000391582,5.751378540226974,22573.286177203267,B2III
Castor,51.57021005818902,59.93364175572123,2.317294377415115,10334.140338882178,A1V
Altair,16.324631801826886,10.45707878952248,1.6385681357721884,7554.538238404283,A7V
Bellatrix,240.396008875072,6396.460553762988,5.702796835694758,22559.156170298847,B2III
Hadar,349.6510239295208,49995.691816097984,9.029686061904163,24977.138850418167,B1III
Betelgeuse,642.4036425044302,125997.20910038544,886.9436673356928,3472.6066444708454,M2Iab
Regulus,79.14834001968553,290.3679076360734,3.105720387017622,12478.930088621566,B7V
Regulus,78.8696975851003,292.77713927994625,3.2154445654455555,12493.540087369223,B7V
Mira,418.3541533597022,8700.111885115977,369.94647200932155,2929.214904446191,M7IIIe
Acrux,320.95215250850816,24995.853352250557,8.476536987947346,28016.58055121632,B0.5IV
Vega,25.40728672741662,45.02639994513558,2.3758185019255906,9589.720331802691,A0V
Betelgeuse,642.4501483192605,125997.82193788076,887.023713575872,3502.8036495770207,M2Iab
Lalande 21185,8.78389229917336,0.9306154071042486,0.36997218014157396,3420.0741335824846,M2.1V
Hadar,350.3393282903268,50002.885000950024,9.030531083873981,24972.4633828412,B1III
Regulus,79.23841041664882,283.3313068914609,3.1941978242994673,12471.609230270555,B7V
Regulus,78.51275351482992,289.1046797165257,3.093785398680339,12469.726650284285,B7V
Bellatrix,239.75802627864445,6402.532053023128,5.807903991855439,22628.845403711555,B2III
Sirius,8.997561546118135,27.612290603452433,1.7178118641359001,9965.640231971809,A1V
Arcturus,36.39116253215857,169.47569492442693,25.34766748214963,4306.771078623507,K1.5III
Alpha Centauri B,3.9259386007692,-2.5124238815560895,0.8971557531469336,5292.710091689776,K1V
Ross 154,9.584936005981074,-0.2622128873565414,0.09815009889642284,2788.6078755716367,M3.5V
Betelgeuse,642.1986705590544,125995.18267169305,887.0568849865539,3502.1107945651283,M2Iab
Sirius,8.790939416886154,29.685053444507503,1.778145234597857,9959.636695100216,A1V
Altair,16.97783483438638,8.978258642897934,1.6817677393535218,7546.77607407146,A7V
Regulus,79.37549284128201,287.2472405244145,3.0775092724640816,12466.383842658091,B7V
Lalande 21185,7.922999488356227,2.681120395944034,0.46518759639849927,3394.5169092653987,M2.1V
Canopus,309.65595488089645,10500.304364175136,70.9940908831198,7322.086648344391,A9II
Procyon,11.361710078531987,11.09891870112007,2.1252624415131467,6522.987352867349,F5IV-V
Capella,43.239838363858276,78.47758735453107,12.04168320043013,4903.922634597786,G8III
Barnard's Star,6.274309005192113,-4.612503609841812,0.27142011745919525,3164.7134904158015,M4Ve
Arcturus,36.23014602060893,167.67967953475542,25.372980607290035,4285.208656712724,K1.5III
Canopus,309.89434307337245,10497.613821111012,70.98540952072986,7395.822565906416,A9II
Altair,16.481723812762002,10.654505105436737,1.6979772339329253,7557.224465410894,A7V
Polaris,323.4890826975579,2197.4846549730764,37.5928890041696,6003.417411946257,F7Ib
Barnard's Star,6.210116619871699,3.922475110995184,0.20022109890664536,3104.152562146686,M4Ve
