City,Accomadation_Type,Accomdation_Cost
Manali,Hotel,500 -5000
Manali,GuestHouse,2000 -8000
Manali,Homestay,1000 - 4000
Manali,Luxury Camps,800 - 3000
Manali,Boutique Hotel,500 - 6000
Leh Ladakh,Hotel,1000 - 4000
Leh Ladakh,GuestHouse,800 - 3000
Leh Ladakh,Homestay,700 - 500
Leh Ladakh,Luxury Camps,1200 -5000 
Leh Ladakh,Boutique Hotel,500 - 6000
Coorg,Hotel,2000 -8000 
Coorg,GuestHouse,1000 - 4000 
Coorg,Homestay,800 - 3000 
Coorg,Luxury Camps,1200 -5000 
Coorg,Boutique Hotel,500 - 6000
Andaman,Hotel,500 - 10000
Andaman,GuestHouse,500 - 6000
Andaman,Homestay,1000 - 4000
Andaman,Luxury Camps,2000 -8000
Andaman,Boutique Hotel,500 - 6000
Lakshadweep,Hotel,5000 -20000
Lakshadweep,GuestHouse,3000 - 2000
Lakshadweep,Homestay,2000 -8000
Lakshadweep,Luxury Camps,3000 -5000
Lakshadweep,Boutique Hotel,500 - 10000
Goa,Hotel,1000 -5000
Goa,GuestHouse,800 - 3000
Goa,Homestay,500 - 500
Goa,Luxury Camps,500 - 6000
Goa,Boutique Hotel,1000 - 4000
Udaipur,Hotel,2000 -8000
Udaipur,GuestHouse,1000 - 4000
Udaipur,Homestay,800 - 3000
Udaipur,Luxury Camps,1200 -5000
Udaipur,Boutique Hotel,500 - 6000
Srinagar,Hotel,500 - 7000
Srinagar,GuestHouse,800 - 3000
Srinagar,Homestay,700 - 500
Srinagar,Luxury Camps,1200 -5000
Srinagar,Boutique Hotel,500 - 6000
Gangtok,Hotel,500 - 6000
Gangtok,GuestHouse,800 - 3000
Gangtok,Homestay,700 - 500
Gangtok,Luxury Camps,1200 -5000
Gangtok,Boutique Hotel,500 - 6000
Munnar,Hotel,2000 -8000
Munnar,GuestHouse,1000 - 4000
Munnar,Homestay,800 - 3000
Munnar,Luxury Camps,1200 -5000
Munnar,Boutique Hotel,500 - 6000
Varkala,Hotel,500 - 6000
Varkala,GuestHouse,800 - 3000
Varkala,Homestay,700 - 500
Varkala,Luxury Camps,1200 -5000
Varkala,Boutique Hotel,500 - 6000
Mcleodganj,Hotel,1000 - 4000
Mcleodganj,GuestHouse,800 - 3000
Mcleodganj,Homestay,700 - 500
Mcleodganj,Luxury Camps,1200 -5000
Mcleodganj,Boutique Hotel,500 - 6000
Rishikesh,Hotel,800 - 3000
Rishikesh,GuestHouse,500 -2000
Rishikesh,Homestay,?400 - 500
Rishikesh,Luxury Camps,1000 - 4000
Rishikesh,Boutique Hotel,1200 -5000
Alleppey,Hotel,2000 -8000
Alleppey,GuestHouse,1000 - 4000
Alleppey,Homestay,800 - 3000
Alleppey,Luxury Camps,1200 -5000
Alleppey,Boutique Hotel,500 - 6000
Darjeeling,Hotel,500 - 6000
Darjeeling,GuestHouse,800 - 3000
Darjeeling,Homestay,700 - 500
Darjeeling,Luxury Camps,1200 -5000
Darjeeling,Boutique Hotel,500 - 6000
Nainital,Hotel,500 - 6000
Nainital,GuestHouse,800 - 3000
Nainital,Homestay,700 - 500
Nainital,Luxury Camps,1200 -5000
Nainital,Boutique Hotel,500 - 6000
Shimla,Hotel,2000 -8000
Shimla,GuestHouse,1000 - 4000
Shimla,Homestay,800 - 3000
Shimla,Luxury Camps,1200 -5000
Shimla,Boutique Hotel,500 - 6000
Ooty,Hotel,500 - 6000
Ooty,GuestHouse,800 - 3000
Ooty,Homestay,700 - 500
Ooty,Luxury Camps,1200 -5000
Ooty,Boutique Hotel,500 - 6000
Jaipur,Hotel,500 - 10000
Jaipur,GuestHouse,500 - 6000
Jaipur,Homestay,1000 - 4000
Jaipur,Luxury Camps,2000 -8000
Jaipur,Boutique Hotel,500 - 6000
Lonavala,Hotel,2000 -8000
Lonavala,GuestHouse,1000 - 4000
Lonavala,Homestay,800 - 3000
Lonavala,Luxury Camps,1200 -5000
Lonavala,Boutique Hotel,500 - 6000
Mussoorie,Hotel,500 - 6000
Mussoorie,GuestHouse,800 - 3000
Mussoorie,Homestay,700 - 500
Mussoorie,Luxury Camps,1200 -5000
Mussoorie,Boutique Hotel,500 - 6000
Kodaikanal,Hotel,500 - 6000
Kodaikanal,GuestHouse,800 - 3000
Kodaikanal,Homestay,700 - 500
Kodaikanal,Luxury Camps,1200 -5000
Kodaikanal,Boutique Hotel,500 - 6000
Dalhousie,Hotel,500 - 6000
Dalhousie,GuestHouse,800 - 3000
Dalhousie,Homestay,700 - 500
Dalhousie,Luxury Camps,1200 -5000
Dalhousie,Boutique Hotel,500 - 6000
Pachmarhi,Hotel,500 - 6000
Pachmarhi,GuestHouse,800 - 3000
Pachmarhi,Homestay,700 - 500
Pachmarhi,Luxury Camps,1200 -5000
Pachmarhi,Boutique Hotel,500 - 6000
Varanasi,Hotel,500 - 6000
Varanasi,GuestHouse,800 - 3000
Varanasi,Homestay,700 - 500
Varanasi,Luxury Camps,1200 -5000
Varanasi,Boutique Hotel,500 - 6000
Mumbai,Hotel,3000 -5000
Mumbai,GuestHouse,500 - 6000
Mumbai,Homestay,1000 - 4000
Mumbai,Luxury Camps,2000 -8000
Mumbai,Boutique Hotel,500 - 6000
Agra,Hotel,500 - 10000
Agra,GuestHouse,500 - 6000
Agra,Homestay,1000 - 4000
Agra,Luxury Camps,2000 -8000
Agra,Boutique Hotel,500 - 6000
Kolkata,Hotel,2000 -8000
Kolkata,GuestHouse,1000 - 4000
Kolkata,Homestay,800 - 3000
Kolkata,Luxury Camps,1200 -5000
Kolkata,Boutique Hotel,500 - 6000
Jodhpur,Hotel,500 - 10000
Jodhpur,GuestHouse,500 - 6000
Jodhpur,Homestay,1000 - 4000
Jodhpur,Luxury Camps,2000 -8000
Jodhpur,Boutique Hotel,500 - 6000
Bangalore,Hotel,2000 -8000
Bangalore,GuestHouse,1000 - 4000
Bangalore,Homestay,800 - 3000
Bangalore,Luxury Camps,1200 -5000
Bangalore,Boutique Hotel,500 - 6000
Amritsar,Hotel,500 - 6000
Amritsar,GuestHouse,800 - 3000
Amritsar,Homestay,700 - 500
Amritsar,Luxury Camps,1200 -5000
Amritsar,Boutique Hotel,500 - 6000
Delhi,Hotel,500 - 6000
Delhi,GuestHouse,800 - 3000
Delhi,Homestay,700 - 500
Delhi,Luxury Camps,1200 -5000
Delhi,Boutique Hotel,500 - 6000
Jaisalmer,Hotel,2000 -8000
Jaisalmer,GuestHouse,1000 - 4000
Jaisalmer,Homestay,800 - 3000
Jaisalmer,Luxury Camps,1200 -5000
Jaisalmer,Boutique Hotel,500 - 6000
Mount Abu,Hotel,500 - 6000
Mount Abu,GuestHouse,800 - 3000
