Year,Smoking_Population_Percentage,Male_Smokers_Percentage,Female_Smokers_Percentage,Smoking_Related_Deaths,Country,City,Age_Limit,Death_History,Average_Cigarettes_Per_Day,Healthcare_Costs,Anti_Smoking_Campaigns,Legislation_Strength,Youth_Smokers_Percentage
1924,25,15.0,10.0,152267,USA,New York,18,152267,11,939559442622,2,8,6.710115375059907
1925,26,15.6,10.4,960004,UK,London,18,960004,8,894932523077,53,8,3.6107761767733395
1926,27,16.2,10.8,355508,Germany,Berlin,18,355508,17,598302078832,44,7,4.921311087306064
1927,28,16.8,11.200000000000001,968208,France,Paris,18,0,19,921952360788,90,3,6.717268380296285
1928,29,17.4,11.600000000000001,823252,Japan,Tokyo,20,0,15,89404009549,32,1,3.7024479360232476
1929,30,18.0,12.0,446831,China,Beijing,18,0,12,196786879556,70,1,3.7964725334578193
1930,31,18.599999999999998,12.4,152873,India,Mumbai,18,0,17,46182061621,32,3,9.111128576107786
1931,32,19.2,12.8,414411,Brazil,São Paulo,18,0,9,326005000432,68,6,7.773408666751693
1932,33,19.8,13.200000000000001,63418,Russia,Moscow,18,0,11,389288612399,55,7,3.57104561066798
1933,34,20.4,13.600000000000001,435325,Australia,Sydney,18,435325,14,272077682742,75,6,6.111982129824603
1934,35,21.0,14.0,818417,USA,New York,18,818417,7,828908771642,56,6,6.534645163065194
1935,36,21.599999999999998,14.4,533924,UK,London,18,0,11,357396573366,17,6,8.957107029593631
1936,37,22.2,14.8,949066,Germany,Berlin,18,949066,15,281653575177,38,3,5.5563679023652925
1937,38,22.8,15.200000000000001,442391,France,Paris,18,442391,15,543153387075,24,6,5.200935924918412
1938,39,23.4,15.600000000000001,315110,Japan,Tokyo,20,315110,12,141783300749,69,8,4.530809139614142
1939,40,24.0,16.0,932749,China,Beijing,18,0,9,802394783773,98,2,7.426515799520862
1940,41,24.599999999999998,16.400000000000002,219936,India,Mumbai,18,219936,8,75476093036,70,5,9.745699186276005
1941,42,25.2,16.8,696707,Brazil,São Paulo,18,696707,12,986900049663,86,1,4.688826202270927
1942,43,25.8,17.2,893836,Russia,Moscow,18,0,12,772472524527,11,1,12.170838057587732
1943,44,26.4,17.6,498946,Australia,Sydney,18,0,7,199516965852,16,5,8.292699621633718
1944,45,27.0,18.0,919511,USA,New York,18,0,10,6516595006,97,3,6.658086232416629
1945,46,27.599999999999998,18.400000000000002,882758,UK,London,18,0,9,815645967026,73,4,5.463634268747884
1946,47,28.2,18.8,981115,Germany,Berlin,18,0,6,707150486503,59,3,6.418940372808688
1947,48,28.799999999999997,19.200000000000003,253184,France,Paris,18,253184,12,729278160872,70,1,13.772294374461215
1948,49,29.4,19.6,482416,Japan,Tokyo,20,482416,16,771499076339,80,1,11.155051819664832
1949,50,30.0,20.0,658810,China,Beijing,18,658810,18,74970607082,93,5,10.166962574265668
1950,51,30.599999999999998,20.400000000000002,592432,India,Mumbai,18,592432,10,359107262815,3,6,11.802535550701702
1951,52,31.2,20.8,265997,Brazil,São Paulo,18,0,6,116753190465,20,3,9.730998146250066
1952,53,31.799999999999997,21.200000000000003,772772,Russia,Moscow,18,772772,16,863240322449,59,9,13.038416755555277
1953,54,32.4,21.6,661084,Australia,Sydney,18,661084,9,623674828700,36,5,5.9153341790698075
1954,55,33.0,22.0,559167,USA,New York,18,559167,5,331567126827,19,8,11.72640931543484
1955,54,32.4,21.6,893450,UK,London,18,893450,16,64494791935,90,1,7.113381634538904
1956,53,31.799999999999997,21.200000000000003,811130,Germany,Berlin,18,811130,14,311671339393,67,5,6.573745266739807
1957,52,31.2,20.8,924783,France,Paris,18,924783,10,325858138704,19,3,8.755548533850577
1958,51,30.599999999999998,20.400000000000002,963568,Japan,Tokyo,20,0,17,729876572159,20,1,6.036350471297108
1959,50,30.0,20.0,326121,China,Beijing,18,0,16,637919913883,96,4,5.941569882685601
1960,49,29.4,19.6,245789,India,Mumbai,18,0,13,887325529833,71,5,7.951850432034684
1961,48,28.799999999999997,19.200000000000003,70366,Brazil,São Paulo,18,70366,5,472742710236,52,7,14.203301074766483
